Pregunta,Respuesta,Área,Tipo Solución,Estado_QA
El usuario reporta una incidencia donde no puede pasar los trámites a cierres porque indica que no hay trámite identificado.,se solicita validar que el origen de la cita sea el adecuado conforme a el tipo de tramite que realiza,Soporte,VALIDAR ORIGEN,solucion
Está cerrada la cita pero aún así me dice que hay que cerrar o que está en análisis,"Si la cita aparece cerrada pero el sistema solicita cierre, valida que el estatus se haya guardado correctamente y, de ser posible, una evidencia en pantalla. Con esta información podremos canalizar el caso para su revisión",Soporte,ASESOR,asesor
"Hemos intentado darle cierre a las citas, pero sigue sin dejar realizarlo en los trámites móviles y también seguimos presentando casos nuevos",Verifica que las citas estén correctamente registradas y que el origen corresponda al tipo de trámite. Revisa el flujo completo antes de intentar el cierre nuevamente.,Soporte,POSIBLE INTERMITENCIA,solucion
"La usuaria no puede realizar el cierre y le aparece una pantalla, pero no especifica el mensaje exacto del error.","Por favor, verifica que el origen coincida con el trámite",Soporte,VALIDAR ORIGEN,solucion
"Logramos enviar el EDR, sólo que aún no deja cerrar la cita.","Si el EDR ya fue enviado, valida que el proceso haya concluido correctamente y que el origen de la cita sea el adecuado, de ser necesario reagenda la cita con el origen correspondiente.",Soporte,VALIDAR ORIGEN,solucion
"Me podrían apoyar, no está dejando cerrar las citas, saben si hay incidencia?","Si no permite cerrar la cita, valida que el origen y el estatus sean correctos y que el flujo previo esté completo. Revisa la información capturada antes de reintentar.",Soporte,VALIDAR ORIGEN,solucion
"No permite cerrar cita, el tramite ya se completo pero la app muestra que no existe tramite identificado. indicaron esperar al siguiente dia a la 1 pm pero seguimos sin poder cerrar","valida primero que el cliente no haya cancelado el traspaso, ya que esto puede impedir el cierre. Si el trámite sigue activo, apóyanos compartiendo la CURP para canalizar el caso a revision.",Soporte,ASESOR,asesor
Puedo cerrar una cita si el EDR aún está pendiente?,"Para cerrar la cita, valida que el flujo previo esté completo y que el estatus del trámite lo permita. Un EDR pendiente impedira el cierre.",Soporte,VALIDAR DATOS,solucion
Qué hago si cierro una cita por error?,"Valida el estatus y origen asignado; si requiere corrección, ajusta la cita antes de continuar con el flujo correspondiente.",Soporte,VALIDAR DATOS,solucion
"Si el cliente realizo el cambio de su informacion personal, puedo editar los datos antes de realizar el cierre ?","No, Actividad PRO no permite actualizar la informacion ya capturada, se recomienda eliminar el caso y volver a realizar la captura con la nuevsa información.",Soporte,VALIDAR DATOS,solucion
Usuario reporta que Actividad Pro no le permite pasar citas a cierre de dos registros del día anterior.,Se solicita validar que el tipo de origen de la cita sea el correcto (Autoregistros).,Soporte,VALIDAR ORIGEN,solucion
"al momento de cerrar la cita de inmediato nos mandó estatus de rechazo, es una recuperacion","En casos de recuperación,es necesario eliminar el registro anterior y realizar la autenticacion desde cero.",Soporte,VALIDAR DATOS,solucion
cual es la diferencia de los origenes al momento de cerrar la cita ?,"El origen de la cita define el tipo de flujo que seguirá el trámite,  Un origen digital generara un estudio con Landing page incluido. Si el origen no corresponde al tipo de gestión realizada, el sistema puede generar inconsistencias por lo que es recomendable seleccionar el origen correcto.",Soporte,VALIDAR ORIGEN,solucion
esta tardando mucho el proceso de enviar de cita a cierre,"Valida que la información esté completa y correctamente capturada, y que tu dispositivo cuente con una conexión a internet estable.",Soporte,POSIBLE INTERMITENCIA,solucion
existe forma de validar por fechas todas las citas realizadas con uno de mis clientes ?,"Sí, puedes validar las citas realizadas consultando el historial del cliente antes de realiar el cierre de la cita",Soporte,VALIDAR DATOS,solucion
la app indica error en los servicios al querer reprogramar cita para recuperar un rechazo,"Para casos de recuperación, valida que el registro previo haya sido eliminado correctamente, ya que mientras exista no permitirá mover o reagendar la cita. Una vez eliminado el registro, inicia nuevamente el proceso de captura y reagendamiento.",Soporte,VALIDAR DATOS,solucion
"me podrian explicar los diferentes tipos de cita, por favor.","Existen tres tipos de cita: presencial, cuando la atención se realiza en sucursal; campo, cuando el contacto se da fuera de oficina (domicilio o en calle); y remota, cuando la atención se realiza a distancia por medios digitales o telefónicos.",Soporte,VALIDAR DATOS,solucion
"no deja reagendar una cita para volver a mandarle estudio al cliente, es una recuperacion.","Para casos de recuperación, valida que el registro previo haya sido eliminado correctamente, ya que mientras exista no permitirá mover o reagendar la cita. Una vez eliminado el registro, inicia nuevamente el proceso de captura y reagendamiento.",Soporte,VALIDAR DATOS,solucion
no le deja pasar sus citas a cierre,Valida que la cita cuente con toda la información requerida y que el origen corresponda al tipo de gestión. Revisa el flujo previo antes de intentar pasarla a cierre.,Soporte,VALIDAR ORIGEN,solucion
no nos deja hacer es la.conversion de cita a cierre,Verifica que la cita cuente con un origen válido y que los pasos previos estén completos. Una configuración incorrecta puede impedir la conversión a cierre.,Soporte,VALIDAR ORIGEN,solucion
"no permite cerrar las citas, indica error en los servicios","revisa que cuentes con una conexión a internet estable, ya que la red, el proveedor o la zona pueden influir. Una vez validado, reintenta el proceso.",Soporte,POSIBLE INTERMITENCIA,solucion
"realice el cierre de la cita, muestra un guion pero el origen es el correcto, de igual forma ya sesoncronizo la app y no se actualiza el estatus, me apoyan","Pueden presentarse dos escenarios: que el trámite aún no se haya reflejado o que la sincronización no se haya realizado en tiempo y forma. Para validar, apóyanos compartiendo únicamente el número de empleado del asesor y la CURP del cliente, con lo cual el caso podrá canalizarse para revisión.",Soporte,ASESOR,asesor
"se realizo el cierre de la cita pero el estatus del cierre indica un guion ""-""","Si el cierre de la cita muestra el estatus con un guion (‘-’), valida que el origen de la cita y el flujo de cierre correspondan al tipo de gestión realizada. Revisa que el cierre se haya guardado correctamente y sincroniza la aplicación",Soporte,VALIDAR DATOS,solucion
"un cerrador no úede realizar el cierre de la cita, ¿Podrían hacer el traspaso y posteriormente a esta suspensión mandar el estudio?",Valida que  que la cita esté correctamente asignada. Revisa el origen de la misma antes de realizar el cierre o el envío del estudio.,Soporte,VALIDAR ORIGEN,solucion
