Pregunta,Respuesta,Área,Tipo Solución,Estado_QA
"El usuario no puede realizar un registro en Actividad Pro, indica que la CURP ya se encuentra capturada en la base de prospectos","Buscar la CURP en los tres módulos utilizando el filtro avanzado en cada uno de los modulos, (contacto, Cita, Cierre)",Soporte,BUSCAR CURP UTILIZANDO FILTRO AVANZADO,solucion
El usuario no recibe el código de verificación CURPXXXXXXXXXXXXXX y consulta si hay una intermitencia.,el problema podría ser con la compañía celular. Se sugiere usar el envío de token por correo como alternativa.,Soporte,POSIBLE INTERMITENCIA,solucion
El usuario no recibe el token por SMS ni por correo electrónico.,"Si no recibes el token por SMS ni por correo, valida que cuentes con una conexión estable y revisa que el número y el correo estén correctamente capturados. Como alternativa inmediata, puedes solicitar el envío del token por correo electrónico.",Soporte,POSIBLE INTERMITENCIA,solucion
El usuario reporta que no recibe el folio de Actividad Pro ni por llamada ni por mensaje y pregunta si existe una intermitencia en el sistema.,Se solicita al cliente implementar el protocolo de intermitencia (reiniciar el dispositivo o colocarlo en modo avión) Recordemos que si no es posible enviar el SMS se puede enviarl el token por email.,Soporte,POSIBLE INTERMITENCIA,solucion
"El usuario reporta que no recibe el mensaje (token) para registrar la cita, ni por correo.","Solicitar un barrido con el equipo de Competitividad Afore a través de su canal de Teams ""Enlace Asesoría"" para que realicen el barrido de la CURP.",Soporte,ESCALAR EQUIPO AFORE (ENLACE ASESORÍA),solucion
Hola! En autenticación email solo llega el aviso de privacidad y el token no,"Si por correo solo llega el aviso de privacidad y no el token, utiliza el envío del token por SMS para continuar con el proceso y no detener la operación.",Soporte,TOKEN VÍA SMS,solucion
La CURP de una asesora archivada aparece como si estuviera en prospectos al intentar darla de alta nuevamente.,"Buscar la CURP en los tres módulos utilizando el filtro avanzado en cada uno de los modulos, (contacto, Cita, Cierre)",Soporte,BUSCAR CURP UTILIZANDO FILTRO AVANZADO,solucion
"La usuaria reporta que no llegan códigos, sospechando de una intermitencia.",Se solicitó al cliente implementar el protocolo de intermitencia (reiniciar el dispositivo o colocarlo en modo avión) Recordemos que si no es posible enviar el SMS se puede enviarl el token por email.,Soporte,POSIBLE INTERMITENCIA,solucion
Los folios de Actividad Pro no están llegando por mensaje o correo electrónico a varios usuarios.,"Si no estás recibiendo los folios por mensaje o correo, valida posibles incidencias con tu compañía celular o tu conexión. Como alternativa inmediata, puedes optar por el envío del folio vía correo electrónico.",Soporte,TOKEN VÍA EMAIL,solucion
Los folios de actividad pro no están llegando vía SMS.,Se solicitó al cliente implementar el protocolo de intermitencia (reiniciar el dispositivo o colocarlo en modo avión) Recordemos que si no es posible enviar el SMS se puede enviarl el token por email.,Soporte,POSIBLE INTERMITENCIA,solucion
"Los usuarios están experimentando problemas para enviar EDRs y tokens, sospechando de una posible intermitencia en el servicio.","Si presentas dificultades para enviar EDRs o tokens, valida que cuentes con una conexión a internet estable y reintenta el envío. En algunos casos puede tratarse de una intermitencia momentánea o de la red desde la que te conectas",Soporte,POSIBLE INTERMITENCIA,solucion
"No pueden ingresar un trámite en Actividad Pro porque el sistema indica que el cliente ya existe, a pesar de que el asesor eliminó el contacto.","Actividad Pro cuenta con una regla que valida que la CURP ingresada no sea cliente, de ser asi muestra el mensajo que te indica, es necesario capturar por el modulo de clientes he informar a estadistica",Soporte,CAPTURA DESDE MÓDULO CLIENTES,solucion
No se puede dar de alta a un cliente en Actividad Pro porque aparece como archivado y no permite la reactivación.,"El módulo de 'archivados' solo muestra un histórico de CURPs eliminadas; para reactivar al cliente, se debe realizar el proceso de autenticación nuevamente y, si muestra que ya está capturado, buscar la CURP usando el filtro avanzada en cada módulo.",Soporte,REALIZAR REGISTRO NUEVAMENTE,solucion
Puedo cambiar el correo o teléfono del cliente antes de enviar el folio?,"Sí, puedes actualizar los datos del cliente antes de enviar el token siempre y cuando sea un nuevo prospecto o referido, para casos de clientes, es necesario que el cliente actualice su informcion si lo requiere. esto asegura que se envíe a la información correcta.",Soporte,VALIDAR DATOS,solucion
Qué pasa si genero un folio y  el cliente no me lo proporciona puedo realizar mas tramites?,"Si, el Token / folio, tiene una vida util de 48 hrs, el mismo se liga a la CURP del trabajador y durante este tiempo puedes realizar y capturar mas tramites.",Soporte,VALIDAR DATOS,solucion
Tenemos varios casos donde esta demorando la validacion de la CURP del trabajador,"Si notas lentitud, valida que tu dispositivo cuente con una conexión a internet estable y reintenta la operación después de unos minutos.",Soporte,POSIBLE INTERMITENCIA,solucion
Un cliente rechazado no puede recuperar su cuenta porque el sistema indica que ya es cliente Profuturo.,Recordemos que el deber ser para todo caso de recuperacion es eliminar al al prospecto y volverlo a capturar antes de realizar el tramite nuevamente,Soporte,ELIMINAR REGISTRO DE LA APP,solucion
"al ingresar el token, indica que es erroneo","Si al ingresar el token aparece como erróneo, valida que lo estés capturando exactamente como se recibió (sin espacios) y que sea el más reciente. Si persiste, solicita un nuevo token e intenta nuevamente.",Soporte,VALIDAR DATOS,solucion
"no permite ingresar el numero que brindo el cliente, nos apoyan","valida que esté capturado en el formato correcto (10 dígitos, sin espacios ni caracteres especiales) y que corresponda a un número móvil válido.",Soporte,VALIDAR DATOS,solucion
"queremos autenticar a un trabajador pero nos arroja el tel y correo anterior del cliente, no el preferente que tiene en su expediente y no recibe el token ya que ya no tiene esos datos, borramos el contacto y lo volvemos a registrar pero sucede lo mismo y no podemos capturar. nos apoyan","Si el sistema muestra el teléfono y correo anteriores, es porque el trabajador ya es cliente y se están tomando los datos previamente registrados. Para continuar con la autenticación, es necesario realizar primero la actualización de datos del cliente; una vez actualizada la información, la app detectará los nuevos datos y permitirá la captura correctamente",Soporte,VALIDAR DATOS,solucion
tenemos casos donde los prospectos tienen números internacionales y no pueden capturarlos,"Actualmente la captura está habilitada únicamente para números nacionales. En casos de prospectos con números internacionales, será necesario utilizar un correo electrónico como medio de contacto para continuar con el proceso.",Soporte,TOKEN VÍA EMAIL,solucion
¿Hay retrasos en la generación de folios por SMS?,los retrasos parecen estar relacionados con los proveedores de telefonía (Telcel y AT&T). Recordemos que se puede enviar el token via correo electronico,Soporte,POSIBLE INTERMITENCIA,solucion
