Pregunta,Respuesta,Área,Tipo Solución,Estado_QA
La asesora  no puede visualizar trámites ingresados en la Aplicación Enlace Pro con fecha posterior al 12 de Junio.,"Se solicita compartir el caso por el canal adecuado ""Enlace Asesoria""",Soporte,ESCALAR EQUIPO AFORE (ENLACE ASESORÍA),solucion
La intermitencia reportada tambien aplica para traspasos pro?,"La intermitencia reportada no puede confirmarse para Traspasos Pro, ya que es una aplicación distinta. Para validar su impacto, el caso debe revisarse a través del canal correspondiente",Soporte,POSIBLE INTERMITENCIA,solucion
"La usuaria solicita apoyo para obtener los accesos a la credencial digital de una asesora de la línea SOFOM, proporcionando los datos de la asesora.","Para poder ayudarte, necesitamos la siguiente información de cada asesor que requiere acceso:
1.- Número de empleado
2.- Nombre
3.- Correo electrónico
4.- Centro de costos
5.- Número CONSAR (si aplica)",Soporte,NUEVA SOLUCION,asesor
La usuaria solicita ayuda para ingresar a un novel de acompañamiento en la app de traspasos con el número 163252.,"Se solicita compartir el caso por el canal adecuado ""Enlace Asesoria""",Soporte,ESCALAR EQUIPO AFORE (ENLACE ASESORÍA),solucion
La usuaria solicita un barrido.,"Se solicita compartir el caso por el canal adecuado ""Enlace Asesoria""",Soporte,ESCALAR EQUIPO AFORE (ENLACE ASESORÍA),solucion
"Los asesores 051398 y 073731 no pueden ingresar a sus aplicaciones, y el enlace pro les aparece sin información.",Se debe enviar el mensaje en el canal de enlace correspondiente.,Soporte,ESCALAR EQUIPO AFORE (ENLACE ASESORÍA),solucion
Los clientes no pueden descargar su CURP y necesitan continuar el proceso con una hoja en blanco porque son clientes foráneos.,es necesario canalizar el caso a través del canal de Enlace Asesoría para su validación y seguimiento.,Soporte,ESCALAR EQUIPO AFORE (ENLACE ASESORÍA),solucion
"Nos ayudan por favor, tenemos asesores con clientes y no permite avanzar","Para poder orientarlos, validen en qué paso específico no permite avanzar (acceso, envío de EDR, token, folio, cierre, etc.) y que los asesores cuenten con una conexión a internet estable. En caso de tokens o folios, prueben el canal alterno (SMS o correo)",Soporte,POSIBLE INTERMITENCIA,solucion
Se solicita apoyo para el acceso a Enlace Pro de dos usuarios específicos.,"Se solicita compartir el caso por el canal adecuado ""Enlace Asesoria""",Soporte,ESCALAR EQUIPO AFORE (ENLACE ASESORÍA),solucion
Se solicita contexto para identificar el momento exacto en que se presenta una pantalla de error o duda dentro de traspasos pro,"Se recomienda al usuario acercarse directamente con el equipo de Afore para aclarar si la diferencia de CURP provoca un rechazo. De forma interna, se indica que el EDR siempre se toma en cuenta sin importar el tipo de estudio.",Soporte,ESCALAR EQUIPO AFORE (ENLACE ASESORÍA),solucion
Se solicita dar acceso a la herramienta Invierte Pro a varios asesores y analistas.,"Se solicita compartir el caso por el canal adecuado ""Enlace Asesoria""",Soporte,ESCALAR EQUIPO AFORE (ENLACE ASESORÍA),solucion
"Si un asesor con perfil de desarrollador realiza la captura del trámite en Actividad PRO, ¿aplica el mismo proceso para los analistas?","El proceso de baja de registro se realiza en Enlace asesoría T o R y la petición debe realizarse al equipo de Afore. Debido a la incidencia en RENAPO, se pide continuar con los trámites y realizar la autenticación una vez que el servicio se restablezca.",Soporte,ESCALAR EQUIPO AFORE (ENLACE ASESORÍA),solucion
Solicitud de acceso a Espacio Pro y otros aplicativos para los colaboradores GONZALEZ PIEDRAS ROMAN ABIMAEL y GOMEZ ALVARADO ALEXIS VLADIMIR.,"Se solicita compartir el caso por el canal adecuado ""Enlace Asesoria""",Soporte,ESCALAR EQUIPO AFORE (ENLACE ASESORÍA),solucion
Solicitud de barrido de CURP con estatus de rechazo para la CURPXXXXXXXXXXXXXX,"Se informa que las validaciones de Profuturo pueden demorar semanas, incluso hasta un mes en promedio para certificar una cuenta, dependiendo de varios factores, y se recomienda contactar al equipo de Afore para obtener información sobre los tiempos aproximados.",Soporte,ESCALAR EQUIPO AFORE (ENLACE ASESORÍA),solucion
Tres asesores no pueden prevalidar.,Canalizar el caso al grupo de Enlace asesoría.,Soporte,ESCALAR EQUIPO AFORE (ENLACE ASESORÍA),solucion
"Tres asesores no tienen acceso a Traspasos Pro, no pueden avanzar en Actividad Pro ni mandar EDR.","favor de compartir el caso en el canal adecuado ""Enlace Asesoria""",Soporte,ESCALAR EQUIPO AFORE (ENLACE ASESORÍA),solucion
Un cliente no aparece en Enlace Pro pero sí en Enlace Pro.,El soporte para problemas de Traspaso o Profuturo Móvil debe reportarse al equipo de Competitividad Afore en su canal de Teams Oficial 'Enlace asesoría',Soporte,ESCALAR EQUIPO AFORE (ENLACE ASESORÍA),solucion
Un cliente no puede acceder a Profuturo Móvil después de intentar realizar un Apovol debido a un error de acceso.,"Se solicita compartir el caso por el canal adecuado ""Enlace Asesoria""",Desarrollo,ESCALAR EQUIPO AFORE (ENLACE ASESORÍA),solucion
Un cliente no recibió confirmación por correo después de firmar la hoja de APOVOL y que la app de Produce se cerrara.,"La consulta debe ser dirigida al equipo de afore, ya que el área de soporte no administra la aplicación de Produce. Por el canal de ""enlace asesoria""",Soporte,ESCALAR EQUIPO AFORE (ENLACE ASESORÍA),solucion
Una asesora certificada desde noviembre no ha podido acceder a traspasos pro a pesar de haber levantado varios tickets.,"Se solicita compartir el caso por el canal adecuado ""Enlace Asesoria""",Soporte,ESCALAR EQUIPO AFORE (ENLACE ASESORÍA),solucion
Una asesora específica reporta que no puede acceder al sistema Enlace Pro.,"Se solicita compartir el caso por el canal adecuado ""Enlace Asesoria""",Soporte,ESCALAR EQUIPO AFORE (ENLACE ASESORÍA),solucion
Varios usuarios no pueden acceder a la funcionalidad de Traspasos Pro.,"Se solicita compartir el caso por el canal adecuado ""Enlace Asesoria""",Soporte,ESCALAR EQUIPO AFORE (ENLACE ASESORÍA),solucion
"no nos deja consultar NRP, tenemos alguna intermitencia ?","Para poder orientarte, valida si el inconveniente con el NRP se presenta al consultarlo desde ConsultaApp o al capturarlo dentro de Actividad Pro. Identificar el punto exacto permitirá definir el flujo correcto a seguir; adicionalmente, revisa que cuentes con una conexión a internet estable antes de reintentar.",Soporte,POSIBLE INTERMITENCIA,solucion
¿Están tardando los folios de traspaso?,"Se solicita compartir el caso por el canal adecuado ""Enlace Asesoria""",Soporte,ESCALAR EQUIPO AFORE (ENLACE ASESORÍA),solucion
