Pregunta,Respuesta,Área,Tipo Solución,Estado_QA
El usuario reporta la imposibilidad de capturar o registrar el proceso de Apovol (Aportaciones Voluntarias).,Compartenos mas detalle antes de escalar el caso a un asesor.,Soporte,ASESOR,asesor
El usuario reporta que el sistema no permite la captura de la operación Apovol para un cliente de Profuturo.,"recuerda que todo tramite APVOL de clientes debe integrarse desde el módulo de Clientes.
Compartenos mas detalle antes de escalar el caso a un asesor.",Soporte,ASESOR,asesor
"Hola buenas tardes, me puede apoyar no podemos dar de alta un apovol en actividad Pro es por una cantidad grande y la aplicación marca en rojo para ingresar una cantidad menor","Si al capturar el APOVOL la aplicación marca en rojo el monto, valida que la cantidad ingresada cumpla con los límites permitidos y que el formato sea correcto. Ajusta el monto conforme a las reglas de captura del sistema y reintenta el registro. 

Adicional comparte este detalle al area de estadistica para su consideracion.",Soporte,VALIDAR DATOS,solucion
"La información de aportación voluntaria en cierres de actividad pro no se actualiza para dos asesores, afectando el registro de APOVOL.",Compartenos el mensaje de error mostrado al momento de sincronizar la app,Soporte,ASESOR,asesor
Los apovoles que hacemos los gerentes para pago de cuadrante de analistas en donde los capturamos?,Los APOVOL deben capturarse desde el módulo correspondiente según el tipo de gestión. Valida que el origen y flujo sean correctos antes de realizar el registro.,Soporte,CAPTURA DESDE MÓDULO CLIENTES,solucion
No encuentro un APOVOL previamente capturado,utiliza el filtro avanzado unicamente en el apartado de Cierres  o en el modulo de clientes.,Soporte,VALIDAR DATOS,solucion
No nos deja programar apovol,Comparte mas detalle de la problemática para poder compartirlo a un agente,Soporte,ASESOR,asesor
"No permite sincronizar Apovol al, incluso después de probar en otra tableta.",Compártenos el detalle para poder orientarte con acciones específicas antes de escalar el caso.,Soporte,ASESOR,asesor
No puedo modificar un APOVOL ya registrado,Valida que el estatus del APOVOL permita edición y que el trámite no se encuentre rechazado o en analisis,Soporte,VALIDAR DATOS,solucion
No se habilita el botón para registrar APOVOL,"Recordemos que para poder realizar el registro de apovol ya sea para prospectos o referidos, el trámite debe encontrarse con status ""Análisis o Aceptado""",Soporte,VALIDAR DATOS,solucion
No se puede ver el status ni las actualizaciones del APOVOL,En algunos casos la información puede tardar en verse reflejada. Te sugerimos sincronizar la aplicación y volver a validar más tarde.,Soporte,VALIDAR DATOS,solucion
Se muestra APOVOL cancelado pero al clinete ya le cobraron saben a que se debe,"Si el APOVOL aparece como cancelado, valida el estatus del registro y la información capturada.",Soporte,VALIDAR DATOS,solucion
"Un asesor reporta que los APOVOL cargados en el módulo de cierres de actividad PRO desaparecieron después de una actualización, aunque a los clientes ya se les cobró.",No aplica,Soporte,ASESOR,asesor
"Un asesor tenía cargados APOVOL en el módulo de cierres de actividad PRO, sin embargo en una actualización le aparecieron en blanco, sin embargo a los clientes ya se les hizo el cargo
Los clientes","Los APOVOL deben registrarse de manera manual en el módulo correspondiente. Si previamente se encontraban marcados como capturados y ahora no se visualizan, valida que el registro haya sido guardado correctamente.",Soporte,CAPTURA DESDE MÓDULO CLIENTES,solucion
"Un cliente no es reconocido en el sistema al intentar registrarlo para Apovol, a pesar de que su estado de cuenta ya fue cotejado.","recuerda que en casos de recuperación es necesario eliminar el registro previo en la app y volver a realizar el proceso de autenticación. Para este caso en especifico, favor de realizar la captura por el Posteriormente, integra el caso desde el módulo de Clientes y notifica al área de Estadistica para no presentar problemas en el esquema de pago.",Soporte,ELIMINAR REGISTRO DE LA APP,solucion
Una cuenta en actividad PRO marca como apovol no identificado pero fue cargada en el tramite de traspaso y cargada de manera correcta.,"Si el APOVOL aparece como no identificado, valida que la informacion ingresada sea la correcta conforme a la venta del mismo.",Soporte,VALIDAR DATOS,solucion
"hicimos el trámite, pero no arroja un estatus y por ende el apovol no se ve reflejando","Si el trámite no muestra estatus y el APOVOL no se refleja, valida que el proceso haya sido guardado correctamente, que el origen y flujo sean los correctos y sincroniza la aplicación.",Soporte,VALIDAR DATOS,solucion
no nos deja capturar la apovol por que nos arroja estatus rechazo en actividad pro,"Si el estatus aparece como rechazado, valida la información capturada, el origen del trámite y que el flujo previo esté completo. Un estatus rechazado impide continuar con la captura.",Soporte,VALIDAR DATOS,solucion
nos pueden ayudar con un caso de una asesora que por mas que sincronizamos los cierre no se actualizan ni aparecen los estatus de apovol,"Si los cierres no reflejan estatus de APOVOL, valida que el flujo esté completo y que el cierre se haya guardado correctamente. Sincroniza la aplicación y revisa el registro desde los distintos módulos.",Soporte,VALIDAR DATOS,solucion
"realizamos una APOVOL de cliente y al quererlo registrar en el módulo de clientes, no le llega el código. Seguimos con intermitencia , si no se soluciona hoy, podremos cargarlo mañana ?","Por el momento no es posible confirmar una intermitencia. Si no estás recibiendo el código, valida los datos de contacto y prueba el canal alterno (SMS o correo) para continuar. En caso de existir un comunicado oficial, será compartido por los canales correspondientes; de lo contrario, te sugerimos esperar indicaciones antes de posponer la carga.",Soporte,POSIBLE INTERMITENCIA,solucion
¿Cómo podemos hacer para qué le hagan valido la venta del apovol a mi Actividad A351P?,"Verifica que el APOVOL haya sido capturado correctamente, con el monto y origen correctos, adicional si se capturo con desfase es necesario reportar con ayuda de tu gerente al equipo de Estadistica para evitar problemas en el esquema de pago",Soporte,VALIDAR DATOS,solucion
